date,region7,stress_index
2018-01-01,Güneydoğu Anadolu,-0.10064388229269841
2018-02-01,Güneydoğu Anadolu,-0.3997091970157428
2018-03-01,Güneydoğu Anadolu,-0.2656326896460755
2018-04-01,Güneydoğu Anadolu,-0.21139503378655797
2018-05-01,Güneydoğu Anadolu,-0.13254478635549946
2018-06-01,Güneydoğu Anadolu,-0.293834663665327
2018-07-01,Güneydoğu Anadolu,-0.6668466380231695
2018-08-01,Güneydoğu Anadolu,-0.49027252234716084
2018-09-01,Güneydoğu Anadolu,-0.3981261316901838
2018-10-01,Güneydoğu Anadolu,-0.4727093617482612
2018-11-01,Güneydoğu Anadolu,-0.38795653130381663
2018-12-01,Güneydoğu Anadolu,-0.18336404020183808
2019-01-01,Güneydoğu Anadolu,-0.4221411326243288
2019-02-01,Güneydoğu Anadolu,-0.4406774584238093
2019-03-01,Güneydoğu Anadolu,-0.4125864222533448
2019-04-01,Güneydoğu Anadolu,-0.44113997274851563
2019-05-01,Güneydoğu Anadolu,-0.5030841030795398
2019-06-01,Güneydoğu Anadolu,-0.30635574819945866
2019-07-01,Güneydoğu Anadolu,-0.43138437744735414
2019-08-01,Güneydoğu Anadolu,-0.4025511637684757
2019-09-01,Güneydoğu Anadolu,-0.3502354471993095
2019-10-01,Güneydoğu Anadolu,-0.2853547610095109
2019-11-01,Güneydoğu Anadolu,-0.31155144348093367
2019-12-01,Güneydoğu Anadolu,-0.11934598211486044
2020-01-01,Güneydoğu Anadolu,-0.3641110327439606
2020-02-01,Güneydoğu Anadolu,-0.265424002709383
2020-03-01,Güneydoğu Anadolu,-0.0484436073995659
2020-04-01,Güneydoğu Anadolu,0.26659121073399017
2020-05-01,Güneydoğu Anadolu,0.3728284284599687
2020-06-01,Güneydoğu Anadolu,0.015298032065675008
2020-07-01,Güneydoğu Anadolu,-0.12671104713440456
2020-08-01,Güneydoğu Anadolu,-0.11208949465035338
2020-09-01,Güneydoğu Anadolu,0.003844325391071699
2020-10-01,Güneydoğu Anadolu,-0.14048051238027023
2020-11-01,Güneydoğu Anadolu,-0.2361025580925948
2020-12-01,Güneydoğu Anadolu,0.5478632314196616
2021-01-01,Güneydoğu Anadolu,0.2742207459059455
2021-02-01,Güneydoğu Anadolu,0.2211350835351028
2021-03-01,Güneydoğu Anadolu,0.03411083944860641
2021-04-01,Güneydoğu Anadolu,0.12442384983209337
2021-05-01,Güneydoğu Anadolu,0.39424042040319407
2021-06-01,Güneydoğu Anadolu,0.48007490854129253
2021-07-01,Güneydoğu Anadolu,-0.13549049860234053
2021-08-01,Güneydoğu Anadolu,-0.049581526415262436
2021-09-01,Güneydoğu Anadolu,0.1012731647088646
2021-10-01,Güneydoğu Anadolu,-0.07664398064249768
2021-11-01,Güneydoğu Anadolu,-0.28443995571087294
2021-12-01,Güneydoğu Anadolu,-0.3826302120112998
2022-01-01,Güneydoğu Anadolu,0.12641427086124643
2022-02-01,Güneydoğu Anadolu,0.09119329229059815
2022-03-01,Güneydoğu Anadolu,0.4864593309390134
2022-04-01,Güneydoğu Anadolu,0.36319576228325523
2022-05-01,Güneydoğu Anadolu,0.15144064014768857
2022-06-01,Güneydoğu Anadolu,0.02611682391176388
2022-07-01,Güneydoğu Anadolu,0.22965059859495504
2022-08-01,Güneydoğu Anadolu,0.46316925188540436
2022-09-01,Güneydoğu Anadolu,0.2660877929844356
2022-10-01,Güneydoğu Anadolu,0.28092045031959306
2022-11-01,Güneydoğu Anadolu,0.5732779566306351
2022-12-01,Güneydoğu Anadolu,0.9436757058140951
2023-01-01,Güneydoğu Anadolu,0.4617277886152733
2023-02-01,Güneydoğu Anadolu,0.19987074711862493
2023-03-01,Güneydoğu Anadolu,0.3253038472799646
2023-04-01,Güneydoğu Anadolu,0.330406584068462
2023-05-01,Güneydoğu Anadolu,0.3800742669575738
2023-06-01,Güneydoğu Anadolu,0.6583441924810195
2023-07-01,Güneydoğu Anadolu,0.3515778561811933
2023-08-01,Güneydoğu Anadolu,0.4702562462582225
2023-09-01,Güneydoğu Anadolu,0.7318463399863394
2023-10-01,Güneydoğu Anadolu,0.257834399226955
2023-11-01,Güneydoğu Anadolu,0.2345490802443916
2023-12-01,Güneydoğu Anadolu,0.5459091377642722
2024-01-01,Güneydoğu Anadolu,0.5738916427620352
2024-02-01,Güneydoğu Anadolu,0.37587368336117577
2024-03-01,Güneydoğu Anadolu,0.02950406134562526
2024-04-01,Güneydoğu Anadolu,0.02918294620434868
2024-05-01,Güneydoğu Anadolu,0.30408923334647625
2024-06-01,Güneydoğu Anadolu,-0.13474600337711162
2024-07-01,Güneydoğu Anadolu,-0.02643725500277974
2024-08-01,Güneydoğu Anadolu,0.06927436377354834
2024-09-01,Güneydoğu Anadolu,-0.15588661980772678
2024-10-01,Güneydoğu Anadolu,-0.00801254001109608
2024-11-01,Güneydoğu Anadolu,0.027747812335755493
2024-12-01,Güneydoğu Anadolu,0.033569031889317154
2025-01-01,Güneydoğu Anadolu,0.07950776517149861
2025-02-01,Güneydoğu Anadolu,0.06485680211744257
