"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2022","15.4769","14.9380","15.5602","14.8624","","3.55%"
"05/01/2022","14.9468","14.8462","14.9867","14.6820","","0.71%"
"04/24/2022","14.8416","14.7400","14.9055","14.6642","","0.73%"
"04/17/2022","14.7339","14.6327","14.7926","14.5311","","0.72%"
"04/10/2022","14.6280","14.7420","14.8153","14.4779","","-0.79%"
"04/03/2022","14.7441","14.6861","14.8174","14.6200","","0.42%"
"03/27/2022","14.6825","14.8352","14.9347","14.5252","","-0.99%"
"03/20/2022","14.8286","14.8117","14.9250","14.7040","","0.26%"
"03/13/2022","14.7899","14.7597","14.9675","14.4815","","0.21%"
"03/06/2022","14.7595","14.1515","15.0425","14.0854","","4.05%"
"02/27/2022","14.1845","13.8237","14.4431","13.6515","","2.64%"
"02/20/2022","13.8196","13.6729","14.7314","13.5491","","1.30%"
"02/13/2022","13.6426","13.5212","13.7419","13.3962","","0.92%"
"02/06/2022","13.5177","13.5679","13.7458","13.3923","","-0.31%"
"01/30/2022","13.5596","13.5365","13.7474","13.1972","","0.07%"
"01/23/2022","13.5507","13.4555","13.8010","13.2300","","0.89%"
"01/16/2022","13.4317","13.5263","13.8287","13.1509","","-0.66%"
"01/09/2022","13.5214","13.8645","14.0410","13.1383","","-2.52%"
"01/02/2022","13.8710","13.4532","14.0557","12.6503","","4.17%"
"12/26/2021","13.3161","10.7513","13.6993","10.6654","","25.06%"
"12/19/2021","10.6480","16.4848","18.3674","10.1565","","-35.13%"
"12/12/2021","16.4135","13.8725","17.1630","13.6450","","18.28%"
"12/05/2021","13.8774","13.6941","13.9743","13.4176","","1.29%"
"11/28/2021","13.7000","12.4014","13.9745","12.3266","","10.28%"
"11/21/2021","12.4229","11.2305","13.5276","10.9373","","10.61%"
"11/14/2021","11.2310","9.9885","11.3482","9.9364","","12.59%"
"11/07/2021","9.9751","9.6955","10.0280","9.6510","","3.11%"
"10/31/2021","9.6741","9.6070","9.7864","9.4570","","0.74%"
"10/24/2021","9.6030","9.6049","9.8595","9.3990","","0.29%"
"10/17/2021","9.5757","9.2608","9.6650","9.1948","","3.50%"
"10/10/2021","9.2517","8.9822","9.2836","8.9085","","3.24%"
"10/03/2021","8.9614","8.8615","8.9900","8.8230","","1.20%"
"09/26/2021","8.8552","8.8833","8.9607","8.8062","","-0.26%"
"09/19/2021","8.8786","8.6461","8.9010","8.5778","","2.90%"
"09/12/2021","8.6283","8.4694","8.6643","8.4003","","2.05%"
"09/05/2021","8.4553","8.3236","8.5257","8.2600","","1.81%"
"08/29/2021","8.3049","8.3546","8.3969","8.2551","","-0.46%"
"08/22/2021","8.3434","8.4939","8.5107","8.3315","","-1.67%"
"08/15/2021","8.4852","8.5242","8.5814","8.2712","","-0.37%"
"08/08/2021","8.5171","8.6215","8.6885","8.4925","","-1.15%"
"08/01/2021","8.6160","8.4539","8.6490","8.2840","","2.17%"
"07/25/2021","8.4333","8.5584","8.6302","8.3824","","-1.33%"
"07/18/2021","8.5471","8.5255","8.6187","8.4881","","0.38%"
"07/11/2021","8.5144","8.6661","8.6809","8.4756","","-1.52%"
"07/04/2021","8.6461","8.6900","8.7409","8.6198","","-0.38%"
"06/27/2021","8.6792","8.7670","8.7739","8.6350","","-0.80%"
"06/20/2021","8.7493","8.7376","8.8086","8.5852","","0.27%"
